Ime,Obdobje,Narodnost,Smer,Kraj
"PHILIPSEN, Theodor Esbern",Impressionism,Danish,painter,
"BOIZOT, Simon-Louis",Neoclassicism,French,sculptor,
"BERGHE, Augustin van den",Rococo,Flemish,painter,Paris
"ROEPEL, Coenraet",Baroque,Dutch,painter,The Hague
"CLOUET, Jean",Northern Renaissance,French,painter,
"FALCONET, Étienne-Maurice",Rococo,French,sculptor,
"PÉNICAUD, Jean II",Mannerism,French,goldsmith,Limoges
"BULAND, Jean-Eugène",Realism,French,painter,Paris
"ZOFFANY, Johann",Rococo,German,painter,London
"BERGOIJS, Claes",Baroque,Dutch,painter,Amsterdam
"SPRANGER, Bartholomaeus",Mannerism,Flemish,painter,Prague
"SCHWARZ, Christoph",Mannerism,German,painter,Munich
GIOVANNI DA CAMPIONE,Medieval,Italian,sculptor,Verona
"CASSANA, Niccolò",Baroque,Italian,painter,
"JOUVENET, Jean-Baptiste",Baroque,French,painter,
"LEONI, Leone",Mannerism,Italian,sculptor,
"BROC, Jean",Romanticism,French,painter,
"BRESOLIN, Domenico",Realism,Italian,painter,Venice
MASTER of the Legend of Saint Barbara,Northern Renaissance,Flemish,painter,Bruges
"VELDE, Willem van de, the Younger",Baroque,Dutch,painter,London
"MIGNARD, Nicolas",Baroque,French,painter,
"ARCIMBOLDO, Giuseppe",Mannerism,Italian,painter,Milan
"CRESPI, Giuseppe Maria",Baroque,Italian,painter,Bologna
"THOMAS, Gabriel-Jules",Romanticism,French,sculptor,Paris
"BEGA, Cornelis",Baroque,Dutch,painter,Haarlem
"SCHOUBROECK, Pieter",Mannerism,Flemish,painter,
"BOSSCHAERT, Ambrosius the Elder",Baroque,Dutch,painter,Utrecht
MARGARITO D'AREZZO,Medieval,Italian,painter,Arezzo
"CABIANCA, Vincenzo",Realism,Italian,painter,
"BRYULLOV, Aleksandr Pavlovich",Romanticism,Russian,painter,
"ZAGANELLI, Bernardino di Bosio",Early Renaissance,Italian,painter,
"VALDAMBRINO, Francesco di",Early Renaissance,Italian,sculptor,Siena
"GAROLA, Pietro Francesco",Baroque,Italian,painter,
"DELEMER, Jean",Northern Renaissance,Flemish,sculptor,Tournai
"COYPEL, Noël",Baroque,French,painter,Paris
"KNIP, Henriëtte Geertruida",Romanticism,Dutch,painter,
"UNKNOWN MASTERS, English",Medieval,English,sculptor,
"MAROCHETTI, Charles",Romanticism,Italian,sculptor,
CIMA da Conegliano,Early Renaissance,Italian,painter,Venice
ANDREA DA FIRENZE,Medieval,Italian,painter,Florence
"SANTAFEDE, Fabrizio",Mannerism,Italian,painter,Naples
"SALZILLO, Francisco",Baroque,Spanish,sculptor,
"MARTOS, Ivan Petrovich",Neoclassicism,Other,sculptor,Russia
"BOONEN, Arnold",Baroque,Dutch,painter,
"DROOCHSLOOT, Joost Cornelisz.",Baroque,Dutch,painter,Utrecht
"HUDSON, Thomas",Baroque,English,painter,London
"GIORGETTI, Antonio",Baroque,Italian,sculptor,Rome
"DO, Giovanni",Baroque,Spanish,painter,Naples
RINALDO MANTOVANO,Mannerism,Italian,painter,Mantua
"WEIR, Julian Alden",Impressionism,American,painter,
"KLOCKER, Hans",Northern Renaissance,Austrian,sculptor,South Tyrol
"BLEKER, Dirck Gerritsz",Baroque,Dutch,painter,Amsterdam
"NEBBIA, Cesare",Mannerism,Italian,painter,
"GÜNTHER, Matthäus",Rococo,German,painter,
"YEVELE, Henry",Medieval,English,architect,
"SANDRART, Joachim von",Baroque,German,painter,
SPINELLO ARETINO,Medieval,Italian,painter,
"VERHAEGEN, Theodoor",Baroque,Flemish,sculptor,Mechelen
"DAEL, Jan Frans van",Romanticism,Belgian,painter,Paris
"LEBEDA, Otakar",Impressionism,Bohemian,painter,
"GILLEMANS, Jan Pauwel the Elder",Baroque,Flemish,painter,Antwerp
"RIESENER, Henri-François",Neoclassicism,French,painter,
"GEFFELS, Frans",Baroque,Flemish,painter,Mantua
"LANFRANCO, Giovanni",Baroque,Italian,painter,Rome
PIETRO DI GIOVANNI TEDESCO,Medieval,Italian,sculptor,Florence
NICCOLÒ DI PIETRO GERINI,Medieval,Italian,painter,Florence
"VELDE, Willem van de, the Elder",Baroque,Dutch,painter,London
"JANSSENS, Hieronymus",Baroque,Flemish,painter,Antwerp
"WIT, Jacob de",Baroque,Dutch,painter,Amsterdam
"RECCO, Giuseppe",Baroque,Italian,painter,Naples
"CACCIANIGA, Francesco",Baroque,Italian,painter,
"GORDIGIANI, Michele",Realism,Italian,painter,Florence
"LEROY DE BARDE, Alexandre-Isidore",Neoclassicism,French,painter,London
"DUGONI, Antonio",Realism,Italian,painter,
"ZUGNO, Francesco",Rococo,Italian,painter,Venice
"LAGRENÉE, Jean-Jacques",Rococo,French,painter,
"TOULMOUCHE, Auguste",Realism,French,painter,Paris
"HERRERA, Francisco de, the Elder",Baroque,Spanish,painter,
BERTOLDO DI GIOVANNI,Early Renaissance,Italian,sculptor,Florence
"RIEMENSCHNEIDER, Tilman",Northern Renaissance,German,sculptor,
"MORISOT, Berthe",Impressionism,French,painter,Paris
"LAPITO, Louis-Auguste",Realism,French,painter,
"WEBER, Henrik",Romanticism,Hungarian,painter,Pest
"STIELER, Karl Joseph",Romanticism,German,painter,
"CAIRO, Francesco del",Baroque,Italian,painter,
"ROBERTI, Ercole de'",Early Renaissance,Italian,painter,Ferrara
"POZZO, Andrea",Baroque,Italian,painter,
VECCHIETTA,Early Renaissance,Italian,sculptor,Siena
"PIAZZA DA LODI, Callisto",High Renaissance,Italian,painter,Lombardy
"BOSCOLI, Tommaso di Pietro",High Renaissance,Italian,architect,
"LÉPINE, Stanislas",Impressionism,French,painter,Paris
"BOSSUIT, Francis van",Baroque,Flemish,sculptor,Amsterdam
"KRAFT, Adam",Northern Renaissance,German,sculptor,Nuremberg
"MAGNASCO, Alessandro",Baroque,Italian,painter,Milan
"MOLYN, Pieter de",Baroque,Dutch,painter,Haarlem
"SOLARI, Cristoforo",High Renaissance,Italian,sculptor,Lombardy
"LASTMAN, Pieter Pietersz.",Baroque,Dutch,painter,Amsterdam
"ARTIOLI, Giuseppe",Neoclassicism,Italian,painter,Mantua
LEONARDO DA PISTOIA,High Renaissance,Italian,painter,Pistoia
"WILLAERTS, Abraham",Baroque,Dutch,painter,Utrecht
"VOS, Marten de",Mannerism,Flemish,painter,Antwerp
"ANGELLIS, Pieter",Rococo,Flemish,painter,
"BEERT, Osias the Younger",Baroque,Flemish,painter,Antwerp
"HEDA, Willem Claesz.",Baroque,Dutch,painter,Haarlem
"DAVID, Jacques-Louis",Neoclassicism,French,painter,
"ASCH, Pieter Jansz. van",Baroque,Dutch,painter,Delft
"MARCHETTI, Ludovico",Romanticism,Italian,painter,Paris
"SALVIATI, Cecchino del",Mannerism,Italian,painter,Florence
"ENGEBRECHTSZ., Cornelis",Northern Renaissance,Netherlandish,painter,Leiden
"MCNICOLL, Helen Galloway",Impressionism,Other,painter,
"SCHÖPFER, Hans the Elder",Northern Renaissance,German,painter,Munich
"PAGANI, Gregorio",Mannerism,Italian,painter,Florence
"NANTEUIL, Charles-François",Romanticism,French,sculptor,
"JONGH, Ludolf de",Baroque,Dutch,painter,Rotterdam
"CAMPAGNA, Girolamo",Baroque,Italian,sculptor,Venice
"BARRA, Didier",Baroque,French,painter,
"KNIJFF, Jacob",Baroque,Dutch,painter,London
VITALE DA BOLOGNA,Medieval,Italian,painter,Bologna
"GONZÁLEZ Y SERRANO, Bartolomé",Mannerism,Spanish,painter,
"LOYET, Gerard",Northern Renaissance,Flemish,goldsmith,
"STRIGEL, Bernhard",Northern Renaissance,German,painter,Swabia
"MURANT, Emanuel",Baroque,Dutch,painter,Leeuwarden
"PILLEMENT, Jean-Baptiste",Rococo,French,painter,
"PARROCEL, Joseph",Baroque,French,painter,
"CHRISTUS, Petrus",Northern Renaissance,Flemish,painter,Bruges
"GRECO, El",Mannerism,Spanish,painter,Toledo
"KUPECKY, Jan",Baroque,Bohemian,painter,
"BRACQUEMOND, Marie",Impressionism,French,painter,
"BLOEMEN, Jan Frans van",Baroque,Flemish,painter,Rome
"GELATI, Lorenzo",Realism,Italian,painter,Florence
"CAJES, Eugenio",Baroque,Spanish,painter,Madrid
"FONTANESI, Antonio",Romanticism,Italian,painter,
"CARSTENS, Asmus Jakob",Baroque,Danish,painter,
ARCANGELO DI JACOPO DEL SELLAIO,High Renaissance,Italian,painter,Florence
"DOYEN, Gabriel-François",Baroque,French,painter,
"ERRI, Bartolomeo degli",Early Renaissance,Italian,painter,Modena
"STRÖHLING, Eduard",Realism,German,painter,London
"MAZIÈRE, Simon",Baroque,French,sculptor,
"VERESHCHAGIN, Petr Petrovich",Realism,Russian,painter,
"CARLEVARIS, Luca",Baroque,Italian,painter,Venice
"HAYET, Louis",Impressionism,French,painter,
"ELINGA, Pieter Janssens",Baroque,Dutch,painter,Amsterdam
"BARATTA, Pietro",Baroque,Italian,sculptor,Venice
"ALBERTI, Cherubino",Mannerism,Italian,painter,Rome
"WERENSKIOLD, Erik",Impressionism,Norwegian,painter,
"FOGOLINO, Marcello",High Renaissance,Italian,painter,
"CAROTO, Giovanni Francesco",High Renaissance,Italian,painter,Verona
"JEAURAT, Etienne",Baroque,French,painter,
"DIANA, Giacinto",Rococo,Italian,painter,Naples
"MERIAN, Matthäus the Younger",Baroque,Swiss,painter,
"THIELE, Johann Alexander",Baroque,German,painter,
"SANSOVINO, Andrea",High Renaissance,Italian,sculptor,
"MATTEIS, Paolo de",Rococo,Italian,painter,
PERINO DEL VAGA,High Renaissance,Italian,painter,
"JAERSVELT, Reijnier van",Northern Renaissance,Flemish,goldsmith,Antwerp
"MOREAU, Adrien",Realism,French,painter,Paris
"KUNST, Cornelis Cornelisz.",Northern Renaissance,Netherlandish,painter,Leiden
"BELLUCCI, Antonio",Baroque,Italian,painter,
"CANTARINI, Simone",Baroque,Italian,painter,Pesaro
"DOBSON, William",Baroque,English,painter,
"PÉNICAUD, Pierre",Mannerism,French,goldsmith,Limoges
"CAPRIOLO, Domenico",High Renaissance,Italian,painter,Venice
"FELICI, Vincenzo",Baroque,Italian,sculptor,Rome
"PELLIZZA DA VOLPEDO, Giuseppe",Impressionism,Italian,painter,
"UYTTENBROECK, Moyses Matheusz van",Baroque,Dutch,painter,Amsterdam
"KRUMPER, Hans",Baroque,German,sculptor,
"VIEN, Joseph-Marie",Neoclassicism,French,painter,
"KERSEBOOM, Friedrich",Baroque,German,painter,
"FOGGINI, Giambattista",Baroque,Italian,sculptor,Florence
"BENINTENDI, Orsino",Early Renaissance,Italian,sculptor,Florence
"MOSKOS, Elias",Baroque,Greek,painter,
CIGOLI,Mannerism,Italian,painter,Florence
"BULGARINI, Bartolommeo",Medieval,Italian,painter,Siena
"MIROU, Anthonie",Baroque,Flemish,painter,Antwerp
"GLEYRE, Charles-Gabriel",Romanticism,Swiss,painter,
"LINGELBACH, Johannes",Baroque,Dutch,painter,
MASTER of Mary of Burgundy,Northern Renaissance,Flemish,illuminator,Ghent
"RASTRELLI, Francesco Bartolomeo",Baroque,Italian,architect,St. Petersburg
"DODIN, Charles-Nicolas",Rococo,French,painter,Sèvres
"ORLOVSKY, Aleksandr Osipovich",Romanticism,Russian,painter,St. Petersburg
MASTER of the Hours of Maréchal de Boucicaut,Medieval,French,illuminator,Paris
"FINELLI, Giuliano",Baroque,Italian,sculptor,Rome
"SAINT-GAUDENS, Augustus",Realism,American,sculptor,
PADOVANINO,Baroque,Italian,painter,Venice
DOMENICO DI AGOSTINO,Medieval,Italian,sculptor,Siena
"PEETERS, Clara",Baroque,Flemish,painter,Antwerp
"SOMER, Paulus van",Baroque,Flemish,painter,London
"RING, Laurits Andersen",Impressionism,Danish,painter,
"BOURDON, Sébastien",Baroque,French,painter,
"HONDECOETER, Gillis Claesz. d'",Baroque,Dutch,painter,Amsterdam
"MITELLI, Agostino",Baroque,Italian,painter,
"KNIP, Henriëtte",Realism,Dutch,painter,Brussels
"HOLBEIN, Ambrosius",Northern Renaissance,German,painter,
MASTER of the Palazzo Venezia Madonna,Medieval,Italian,painter,Siena
"CALVI, Jacopo Alessandro",Rococo,Italian,painter,Bologna
"HERNANDEZ, Jeronimo",Mannerism,Spanish,sculptor,Seville
MICHELE DI GIOVANNI DA FIESOLE,Early Renaissance,Italian,sculptor,
"HEUSSEN, Claes van",Baroque,Dutch,painter,Haarlem
"DOMENICHINI, Apollonio",Rococo,Italian,painter,Venice
"LIGARI, Pietro",Baroque,Italian,painter,Valtellina
"BRUEGHEL, Pieter III",Baroque,Flemish,painter,Antwerp
"DONÁT, János",Romanticism,Hungarian,painter,
"VECELLIO, Francesco",High Renaissance,Italian,painter,
"WOENSAM, Anton von Worms",Mannerism,German,painter,Cologne
"MONTAGNA, Bartolomeo",Early Renaissance,Italian,painter,Vicenza
"ZULOAGA Y ZABALETA, Ignacio",Impressionism,Spanish,painter,
"TISCHBEIN, Johann Heinrich Wilhelm",Neoclassicism,German,painter,Naples
"ATTIRET, Claude-François",Rococo,French,sculptor,Paris
"HOPPNER, John",Neoclassicism,English,painter,London
"UNKNOWN MASTERS, Catalan",Medieval,Catalan,painter,
GIROLAMO DA CREMONA,Early Renaissance,Italian,illuminator,
"VILLANDRANDO, Rodrigo de",Baroque,Spanish,painter,Madrid
"SQUARCIONE, Francesco",Early Renaissance,Italian,painter,Padua
"GIOVANNI DA VERONA, Fra",High Renaissance,Italian,sculptor,
"MAINO, Fray Juan Bautista",Baroque,Spanish,painter,Madrid
"FRUEAUF, Rueland the Elder",Northern Renaissance,Austrian,painter,
"MARCHIORI, Giovanni",Rococo,Italian,sculptor,Venice
"REINAGLE, Ramsay Richard",Romanticism,English,painter,London
"MONNOT, Pierre Etienne",Baroque,French,sculptor,
"CALLOIGNE, Jan Robert",Neoclassicism,French,sculptor,
"BOROVIKOVSKY, Vladimir Lukich",Rococo,Russian,painter,
MASTER ALPAIS,Medieval,French,goldsmith,Limoges
"LOOS, Friedrich",Romanticism,Austrian,painter,
"MALTON, James",Rococo,English,painter,London
"PARLER, Peter",Medieval,German,sculptor,Prague
BONIFACIO VERONESE,High Renaissance,Italian,painter,Venice
"EWORTH, Hans",Mannerism,Flemish,painter,England
BARNABA DA MODENA,Medieval,Italian,painter,
"COLLOT, Marie-Anne",Neoclassicism,French,sculptor,
MELOZZO DA FORLI,Early Renaissance,Italian,painter,
"LEONBRUNO, Lorenzo",High Renaissance,Italian,painter,Mantua
"YVON, Adolphe",Realism,French,painter,
"AENVANCK, Theodoor",Baroque,Flemish,painter,Antwerp
NANNI DI BANCO,Early Renaissance,Italian,sculptor,Florence
"SENGHER, Philipp",Baroque,German,sculptor,Florence
"HEEM, Cornelis de",Baroque,Dutch,painter,Leiden
"BENVENUTI, Pietro",Neoclassicism,Italian,painter,Florence
"CHAMBERLIN, Mason the Elder",Rococo,English,painter,
"CASTAGNOLI, Giuseppe",Neoclassicism,Italian,painter,Florence
"PONTORMO, Jacopo",Mannerism,Italian,painter,Florence
"BOUDIN, Eugène",Impressionism,French,painter,Paris
"CRIVELLI, Carlo",Early Renaissance,Italian,painter,Venice
"ZURBARÁN, Juan de",Baroque,Spanish,painter,Seville
"ZAVATTARI, Franceschino",Early Renaissance,Italian,painter,Milan
"VENNE, Jan van der",Baroque,Flemish,painter,Brussels
"TERBRUGGHEN, Hendrick",Baroque,Dutch,painter,Utrecht
"SCHEEMAEKERS, Petrus the Elder",Baroque,Flemish,sculptor,Antwerp
"BARDELLINO, Pietro",Rococo,Italian,painter,Naples
"GUILLAUMIN, Armand",Impressionism,French,painter,Paris
"NEYN, Pieter de",Baroque,Dutch,painter,Leiden
"DUVIVIER, Jan Bernard",Neoclassicism,Flemish,painter,
"BAILLY, Jacques II",Baroque,French,painter,Paris
BETTO DI GERI,Medieval,Italian,goldsmith,Florence
"BEER, Jan de",Northern Renaissance,Flemish,painter,Antwerp
"RENARD DE SAINT-ANDRÉ, Simon",Baroque,French,painter,Paris
"BERTHÉLEMY, Jean-Simon",Neoclassicism,French,painter,Paris
"PORTA, Guglielmo della",High Renaissance,Italian,sculptor,
"MAFFEI, Francesco",Baroque,Italian,painter,Venice
"LOO, Charles-Amédée-Philippe van",Rococo,French,painter,
"GROOTH, Johann Friedrich",Rococo,German,painter,St. Petersburg
"COSTA, Lorenzo the Younger",Mannerism,Italian,painter,Mantua
"CULLEN, Maurice Galbraith",Impressionism,Other,painter,
"URBINI, Francesco",High Renaissance,Italian,potter,
"SANTVOORT, Dirck Dircksz.",Baroque,Dutch,painter,Amsterdam
"LAER, Pieter van",Baroque,Dutch,painter,Rome
"WEBER, Giovanni Zanobio",Neoclassicism,Italian,sculptor,Florence
"MINARDI, Tommaso",Romanticism,Italian,painter,Rome
"DELFF, Jacob Willemsz I",Northern Renaissance,Dutch,painter,Delft
"JACOBSEN, Niels Hansen",Realism,Danish,sculptor,Vejen
"PONTELLI, Baccio",Early Renaissance,Italian,architect,Rome
"TERZIO, Francesco",Mannerism,Italian,painter,Vienna
"MACLISE, Daniel",Romanticism,Irish,painter,
"ULFT, Jacob van der",Baroque,Dutch,painter,Rome
"STRADANUS, Johannes",Mannerism,Flemish,painter,Italy
"VITALI, Ivan Petrovich",Neoclassicism,Russian,sculptor,St. Petersburg
"COX, David",Romanticism,English,painter,
DANIELE da Volterra,High Renaissance,Italian,painter,
"CHERNETSOV, Grigory Grigorievich",Realism,Russian,painter,St. Petersburg
"FINSON, Louis",Mannerism,Flemish,painter,
"MAES, Nicolaes",Baroque,Dutch,painter,Amsterdam
"WITTEN, Hans",Northern Renaissance,German,sculptor,Saxony
"CESARI, Giuseppe",Baroque,Italian,painter,Rome
"STRÓBL, Alajos",Realism,Hungarian,sculptor,Budapest
"ALMONACID, Sebastián de",Early Renaissance,Spanish,sculptor,
"HOMER, Winslow",Realism,American,painter,
"GABBIANI, Anton Domenico",Baroque,Italian,painter,Florence
"MENGS, Anton Raphael",Baroque,German,painter,
"BELLO, Marco",Early Renaissance,Italian,painter,
"COYSEVOX, Antoine",Baroque,French,sculptor,
"GAGINI, Pace",High Renaissance,Italian,sculptor,Genoa
JEAN DE BEAUMETZ,Medieval,Flemish,painter,
"PULIGO, Domenico",High Renaissance,Italian,painter,Florence
"FRANQUE, Jean-Pierre",Romanticism,French,painter,
"MOUCHERON, Isaac de",Baroque,Dutch,painter,Amsterdam
"ROBERT, Léopold",Neoclassicism,Swiss,painter,
"CERRINI, Giovanni Domenico",Baroque,Italian,painter,
"ROBBIA, Girolamo della",High Renaissance,Italian,sculptor,France
GANO DI FAZIO,Medieval,Italian,sculptor,Siena
PSEUDO-JACOPINO,Medieval,Italian,painter,Bologna
MASTER of the Legend of Saint Ursula (II),Northern Renaissance,German,painter,Cologne
"POLLAIUOLO, Antonio del",Early Renaissance,Italian,painter,Florence
"MOLENAER, Bartholomeus",Baroque,Dutch,painter,Haarlem
"BARRE, Jean-Jacques",Romanticism,French,sculptor,Paris
"BREGNO, Giovanni Battista",Early Renaissance,Italian,sculptor,
"LEIBL, Wilhelm",Realism,German,painter,Munich
"TIROL, Hans",Mannerism,German,painter,Prague
"MÉSZÖLY, Géza",Realism,Hungarian,painter,
"BENSON, Frank Weston",Impressionism,American,painter,Boston
"PRENDERGAST, Maurice Brazil",Impressionism,American,painter,
"GRIGI, Giovanni Giacomo de'",Mannerism,Italian,architect,Venice
"BIGARNY, Felipe",High Renaissance,Spanish,sculptor,
"TIBALDI, Pellegrino",Mannerism,Italian,painter,Rome
"SERRA, Pedro",Medieval,Catalan,painter,Catalonia
"BONTEMPS, Pierre",Mannerism,French,sculptor,
"STRAUB, Johann Baptist",Rococo,German,sculptor,
"AIVAZOVSKY, Ivan Konstantinovich",Realism,Russian,painter,
"ETTY, William",Romanticism,English,painter,York
"ROBBIA, Andrea della",Early Renaissance,Italian,sculptor,Florence
ORCAGNA,Medieval,Italian,sculptor,Florence
"GOYEN, Jan van",Baroque,Dutch,painter,The Hague
"RUSCONI, Camillo",Baroque,Italian,sculptor,Rome
"SPAENDONCK, Gerard van",Rococo,Dutch,painter,Paris
AMICO FRIULANO DEL DOSSO,High Renaissance,Italian,painter,
"KOETS, Roelof",Baroque,Dutch,painter,Haarlem
"LONGHI, Alessandro",Rococo,Italian,painter,Venice
PIERO DELLA FRANCESCA,Early Renaissance,Italian,painter,
"FARINATI, Paolo",Mannerism,Italian,painter,Verona
"ZENALE, Bernardo",High Renaissance,Italian,painter,Milan
"VILADOMAT Y MANALT, Antonio",Baroque,Spanish,painter,Barcelona
"SCHICK, Christian Gottlieb",Neoclassicism,German,painter,
"RUOPPOLO, Giovanni Battista",Baroque,Italian,painter,Naples
"PAELINCK, Joseph",Neoclassicism,Flemish,painter,
"HEMESSEN, Catharina van",Mannerism,Flemish,painter,
"HICKEY, Thomas",Romanticism,Irish,painter,India
"GARCIA, Pere",Early Renaissance,Catalan,painter,Barcelona
"BEERSTRATEN, Anthonie",Baroque,Dutch,painter,Amsterdam
"GOZZOLI, Benozzo",Early Renaissance,Italian,painter,
"MOYA, Pedro de",Baroque,Spanish,painter,
"NAZARI, Bartolomeo",Baroque,Italian,painter,Venice
"KRÜGER, Franz",Romanticism,German,painter,
"BAELLIEUR, Cornelis de",Baroque,Flemish,painter,Antwerp
"TARAVAL, Hugues",Rococo,French,painter,Paris
"PIETTE, Ludovic",Impressionism,French,painter,
"DOLCI, Carlo",Baroque,Italian,painter,Florence
"BOGUET, Nicolas-Didier",Rococo,French,painter,Rome
"AVELLI, Francesco Xanto",High Renaissance,Italian,painter,
"DALLE MASEGNE, Jacobello",Medieval,Italian,sculptor,Emilia
"SAINT-EVRE, Gillot",Romanticism,French,painter,Paris
"BOSSCHAERT, Abraham",Baroque,Dutch,painter,Utrecht
"LEGROS, Alphonse",Realism,French,painter,London
"PICKENOY, Nicolaes Eliasz.",Baroque,Dutch,painter,Amsterdam
