Ime_slikarja,Narodnost,Smer,Letnice_kraj
"CHINARD, Joseph",French,sculptor,"b. 1756, Lyon, d. 1813, Lyon"
NICCOLÒ PISANO,"Italian painter, Pisan",school,"b. 1470, Pisa, d. ca. 1538, Pisa"
"KOZLOVSKY, Mikhail Ivanovich",Russian,sculptor,"b. 1753, St. Petersburg, d. 1802, St. Petersburg"
"NEER, Aert van der",Dutch,painter,"b. 1603/04, Amsterdam, d. 1677, Amsterdam"
"WALKER, George",British,painter,"b. 1781, Killingbeck Hall, Seacroft, d. 1856, Killingbeck Lodge, Seacroft"
"MIGNON, Abraham",German,painter,"b. 1640, Frankfurt, d. 1679, Wetzlar"
"OSTENDORFER, Michael",German painter and woodcut,designer,"b. ca. 1494, Regensburg, d. 1549, Regensburg"
"SCHALLER, Johann Nepomuk",Austrian,sculptor,"b. 1777, Wien, d. 1842, Wien"
LORENTINO D'AREZZO,Italian,painter,"b. ca. 1430, Arezzo, d. 1506, Arezzo"
"PAGANI, Gregorio",Italian,painter,"b. 1558, Firenze, d. 1605, Firenze"
MICHELE DI GIOVANNI DA FIESOLE,Italian,sculptor,"b. ca. 1418, Fiesole, d. ca. 1458, Fiesole"
"ROMEIJN, Willem",Dutch,painter,"b. ca. 1624, Haarlem, d. ca. 1693, Haarlem"
"VACCARO, Andrea ","Italian painter, Neapolitan",school,"b. 1604, Napoli, d. 1670, Napoli"
"STOM, Antonio","Northern European painter, Venetian",school,"b. 1688, Venezia, d. 1734, Venezia"
"PACKX, Hendrick Ambrosius",Dutch,painter,"b. ca. 1603, Amsterdam, d. after 1658"
"KRUL, Jan Harmensz.",Dutch,poet,"b. ca. 1601, Amsterdam, d. 1646, Amsterdam"
"GOUPIL, Jules-Adolphe",French,painter,"b. 1839, Paris, d. 1883, Paris"
"EPINAY, Prosper d'",French,sculptor,"b. 1836, Pamplemousses, Mauritius, d. 1914, Saint-Cyr-sur-Loire"
"PERRONNEAU, Jean-Baptiste",French,painter,"b. 1715, Paris, d. 1783, Amsterdam"
"ABBATI, Giuseppe",Italian,painter,"b. 1836, Napoli, d. 1868, Firenze"
"ROSLIN, Alexander",Swedish,painter,"b. 1718, Malmö, d. 1793, Paris"
"FALCONE, Aniello","Italian painter, Neapolitan",school,"b. 1607, Napoli, d. 1656, Napoli"
"TIECK, Christian Friedrich",German,sculptor,"b. 1776, Berlin, d. 1851, Berlin"
"CASTELLO, Valerio","Italian painter, Genoese",school,"b. 1624, Genova, d. 1659, Genova"
"SPINAZZI, Innocenzo","Italian sculptor, Florentine",school,"b. 1726, Roma, d. 1798, Firenze"
"BOULLOGNE, Louis the Younger",French,painter,"b. 1654, Paris, d. 1733, Paris"
"HUYSMANS, Jacob",Flemish,painter,"b. ca. 1630, Antwerpen, d. 1696, London"
"BOURDICHON, Jean",French,illuminator,"b. 1457, ?, d. 1521, Tours"
"RIJN, Titus van",Dutch,painter,"b. 1641, Amsterdam, d. 1668, Amsterdam"
"HACKERT, Georg Abraham",German painter and,printmaker,"b. 1755, Prenzlau, d. 1805, Firenze"
"DANDINI, Vincenzo",Italian,painter,"b. 1609, Firenze, d. 1675, Firenze"
"VOSMAER, Jacob Woutersz",Dutch,painter,"b. ca. 1584, Delft, d. 1641, Delft"
"SANDTNER, Carlo",German,painter,"b. 1591, München, d. 1630, Mantova"
"METZ, Conrad Martin",German,engraver,"b. 1749, Bonn, d. 1827, Roma"
"ASHFORD, William",Irish,painter,"b. ca. 1746, Birmingham, d. 1824, Dublin"
"POLLAK, Leopold",Austrian,painter,"b. 1806, Lodenitz, d. 1880, Roma"
"GOUJON, Jean",French,sculptor,"b. ca. 1510, d. ca. 1565, Bologna"
"LIBERI, Pietro","Italian painter, Venetian",school,"b. 1605, Padova, d. 1687, Venezia"
"WEENIX, Jan Baptist",Dutch,painter,"b. 1621, Amsterdam, d. 1660, Doetinchem"
"PEETERS, Clara",Flemish,painter,"b. ca. 1584, Antwerpen, d. ca. 1657, Antwerpen"
"TOORENVLIET, Jacob",Dutch,painter,"b. 1640, Leiden, d. 1719, Oegstgeest"
"PORTA, Giacomo della",Italian,architect,"b. ca. 1533, Genova, d. 1602, Roma"
"DUBUFE, Edouard",French,painter,"b. 1820, Paris, d. 1883, Versailles"
"BOULLE, André-Charles",French,cabinet-maker,"b. 1642, Paris, d. 1732, Paris"
MASTER IAM of Zwolle,Netherlandish,engraver,active 1470-1495 in Zwolle
"LAWSON, Ernst",Canadian,painter,"b. 1873, Halifax, Nova Scotia, d. 1939, Miami Beach"
ANTONIO DA NEGROPONTE,Italian,painter,active second half of the 15th century
"PASQUETTI, Fortunato","Italian painter, Venetian",school,c. 1700-1773
DOMENICO DI BARTOLO,"Italian painter, Sienese",school,"b. ca. 1400, Asciano, d. ca. 1447, Siena"
"ROBBIA, Luca di Andrea della",Italian,sculptor,"b. 1475, Firenze, d. 1548, Firenze"
GIOVANNI DA CAMPIONE,"Italian sculptor, Veronese",school,active 1340-1360
"SINGLETON, Henry",English painter and,illustrator,"b. 1766, London, d. 1839, London"
"DIJCK, Floris Claesz van",Dutch,painter,"b. 1575, Haarlem, d. 1651, Haarlem"
"SCOTT, William Bell",Scottish,painter,"b. 1811, Edinburgh, d. 1890, Penkill Castle"
"NANTEUIL, Robert",French,engraver,"b. 1623, Reims, d. 1678, Paris"
"BARON, Bernard",French,engraver,"b. 1696, Paris, d. 1762, London"
"BRAKENBURG, Richard",Dutch,painter,"b. 1650, Haarlem, d. 1702, Haarlem"
MASTER of the Housebook,German,engraver/painter,active 1475-90
"BOITO, Camillo",Italian,architect,"b. 1836, Roma, d. 1914, Milano"
"GENNARI, Cesare","Italian painter, Bolognese",school,"b. 1637, Cento, d. 1688, Bologna"
"RIZI, Francisco",Spanish,painter,"b. 1614, Madrid, d. 1685, Madrid"
"MATHAM, Theodor",Dutch,engraver,"b. ca. 1605, Haarlem, d. 1676, Amsterdam"
"MASSYS, Jan",Flemish,painter,"b. ca. 1510, Antwerpen, d. 1575, Antwerpen"
"SABATELLI, Luigi",Italian,painter,"b. 1772, Firenze, d. 1850, Milano"
"DUPRÉ, Giovanni",Italian,sculptor,"b. 1817, Siena, d. 1882, Firenze"
"RUOPPOLO, Giovanni Battista","Italian painter, Neapolitan",school,"b. 1629, Napoli, d. 1693, Napoli"
"UDEN, Lucas van",Flemish,painter,"b. 1595, Antwerpen, d. 1672, Antwerpen"
"REYMOND, Pierre",French,enameler,c. 1513- after 1584
"BICCI, Lorenzo di","Italian painter, Florentine",school,"b. ca. 1350, Firenze, d. ca. 1427, Firenze"
"ASAM, Cosmas Damian",German,painter/architect,"b. 1686, Benedikternbeuern, d. 1739, Weltenburg"
"PICOT, François-Edouard",French,painter,"b. 1786, Paris, d. 1868, Paris"
"BOL, Ferdinand",Dutch,painter,"b. 1616, Dordrecht, d. 1680, Amsterdam"
"NEUREUTHER, Eugen",German,painter,"b. 1806, München, d. 1882, München"
ANQUETIN. Louis,French,painter,"b. 1861, Étrépagny, nr Gisors, d. 1932, Paris"
"VERWER, Justus de",Dutch,painter,"b. ca. 1625, Amsterdam, d. 1689, Amsterdam"
"CHODOWIECKI, Daniel Nikolaus",Polish,painter,"b. 1726, Danzig, d. 1801, Berlin"
"LOO, Frans van",Flemish,sculptor,active 1607-1654 in Mechelen
"LISAERT, Pieter III",Flemish,painter,1574-c. 1604
"HAWKINS, Louis Welden",French,painter,"b. 1849, Stuttgart, d. 1910, Paris"
"ROSI, Alessandro",Italian,painter,"b. 1627, Rovezzano, d. 1697, Firenze"
"FERNELEY, John",English,painter,"b. 1782, Thrussington, d. 1860, Melton Mowbray"
"LAURENS, Jean-Paul",French,painter,"b. 1838, Fourquevaux, d. 1921, Paris"
MASTER of the Borgo Crucifix,Italian,painter,active 1250-1270
GIOVANNI ANTONIO DA BRESCIA,Italian,engraver,"b. ca. 1460, Brescia, d. 1523, Roma"
"CLAEISSENS, Antoon",Flemish,painter,"b. ca. 1538, Brugge, d. 1613, Brugge"
"ROELAS, Juan de las",Spanish,painter,"b. ca. 1570, Flanders, d. 1625, Olivares"
"GHIRLANDAIO, Davide",Italian,painter,"b. 1452, Firenze, d. 1525, Firenze"
"BEECKMAN, Andries",Dutch,painter,active 1651-57 Dutch East Indies
"BRAND, Johann Christian",Austrian,painter,"b. 1722, Wien, d. 1795, Wien"
"COELLO, Claudio","Spanish painter, Madrid",school,"b. 1642, Madrid, d. 1693, Madrid"
"TASSAERT, Octave",French,painter,"b. 1800, Paris, d. 1874, Paris"
"RAMSAY, Allan",Scottish,painter,"b. 1713, Edinburgh, d. 1784, Dover"
"TURPIN DE CRISSÉ, Lancelot-Théodore",French,painter,"b. 1782, Paris, d. 1859, Paris"
"BOURDON, Sébastien",French,painter,"b. 1616, Montpellier, d. 1671, Paris"
"LUCE, Maximilien",French painter and,printmaker,"b. 1858, Paris, 1941, Paris"
"ALTDORFER, Albrecht",German,painter,"b. ca. 1480, Regensburg, d. 1538, Regensburg"
ODERISIUS OF BENEVENTO,Italian,sculptor,active 1119-1150
"CASTIGLIONE, Giuseppe",Italian,painter,"b. 1829, Napoli, d. 1908, Paris"
"DAUCHER, Hans",German,sculptor,"b. ca. 1485, Ulm, d. ca. 1538, Stuttgart"
ANGELUCCIO,"Italian painter, Roman",school,"b. ca. 1620, Roma, d. ca. 1650, Roma"
"WESEL, Adriaen van",Netherlandish,sculptor,"b. ca. 1417, Utrecht, d. 1499, Utrecht"
"ISABEY, Eugène",French,painter,"b. 1803, Paris, d. 1886, Montévrain"
"BOSSE, Abraham",French,engraver,"b. 1602, Paris, d. 1676, Paris"
GIOVANNI AGOSTINO DA LODI,Italian,painter,active c. 14671524
"MARKÓ, Károly the Younger",Hungarian,painter,"b. 1822, Pest, d. 1891, Moscow"
"POORTER, Willem de",Dutch,painter,"b. 1608, Haarlem - after 1648, ?"
"LANINO, Bernardino",Italian,painter,"b. ca. 1512, Vercelli, d. after 1581"
"APT, Ulrich the Elder",German,painter,"b. ca. 1460, Augsburg, d. 1522, Augsburg"
PIETRO DA RIMINI,Italian,painter,active 1324-1338 in Rimini
"MENA, Pedro de",Spanish,sculptor,"b. 1628, Granada, d. 1688, Malaga"
"HEYSACKER, Tilman",German,sculptor,documented 1470-1515 in Cologne
"SOROLLA Y BASTIDA, Joaquín",Spanish,painter,"b. 1863, Valencia, d. 1923, Cercedilla"
CIMABUE,"Italian painter, Florentine",school,"b. ca. 1240, Firenze, d. ca. 1302, Firenze"
"GREVENBROECK, Alessandro","Dutch painter, active in",Italy,active 1717-1747 in Venice
"CHRISTUS, Petrus",Flemish,painter,"b. 1410/20, Baarle, d. 1475/76, Brugge"
"LAGNIET, Jacques",French,printmaker,16201672
"SIBERECHTS, Jan",Flemish,painter,"b. 1627, Antwerpen, d. ca. 1703, London"
"SCHADOW, Johann Gottfried",German,sculptor,"b. 1764, Berlin, d. 1850, Berlin"
"BREU, Jörg the Elder",German,painter,"b. 1475/76, Augsburg, d. 1537, Augsburg"
BRAMANTINO,"Italian painter, Lombard",school,"b. ca. 1465, Milano, d. 1530, Milano"
"GUILLAIN, Simon",French,sculptor,"b. 1581, Paris, d. 1658, Paris"
"LEHMANN, Henri",French,painter,"b. 1814, Kiel, d. 1882, Paris"
"BOSSCHAERT, Ambrosius the Elder",Dutch,painter,"b. 1573, Antwerpen, d. 1621, Middleburg"
"CRIVELLI, Vittore","Italian painter, Venetian",school,"b. ca. 1440, Venezia, d. 1501/2, Venezia"
"CAMPENY Y ESTANY, Damián",Catalan,sculptor,"b. 1771, Mataró, d. 1855, Barcelona"
"MOLENAER, Klaes",Dutch,painter,"b. before 1630, Haarlem, d. 1676, Haarlem"
"ROLLI, Antonio",Italian,painter,"b. 1643, Bologna, d. 1696, Bologna"
MODERNO,Italian plaquette,designer,"b. 1467, Verona, d. 1528, Verona"
"PAOLINO, Fra",Italian,painter,"b. ca. 1490, Pistoia, d. 1547, Pistoia"
"FÉNYES, Adolf",Hungarian,painter,"b. 1867, Kecskemét, d. 1945, Budapest"
"BIGAGLIA, Pietro",Italian,glassmaker,"b. 1786, Murano, d. 1876, Venezia"
"BONTEMPS, Pierre",French,sculptor,"b. ca. 1512, Sens, d. ca. 1570, Verneuil-sur-Oise"
"DELPY, Hippolyte-Camille",French,painter,"b. 1842, Joigny, d. 1910, Paris"
"COYPEL, Antoine",French,painter,"b. 1661, Paris, d. 1722, Paris"
"BEAUMONT, Claudio Francesco",Italian,painter,"b. 1694, Torino, d. 1766, Torino"
"BARATTA, Pietro",Italian,sculptor,"b. 1668, Carrara, d. 1729, Carrara"
MASTER of the Playing Cards,German,engraver,active 1435-1450 in the Upper Rhine
"DIANA, Benedetto","Italian painter, Venetian",school,"b. ca. 1460, Venezia, d. 1525, Venezia"
"KNIP, Henriëtte Geertruida",Dutch,painter,"b. 1783, Tilburg, d. 1842, Haarlem"
"DEBUCOURT, Philibert-Louis",French,painter,"b. 1755, Paris, d. 1832, Paris"
"VELDE, Adriaen van de",Dutch,painter,"b. 1636, Amsterdam, d. 1672, Amsterdam"
"BONITO, Giuseppe",Italian,painter,"b. 1707, Castellamare di Stabia, d. 1789, Napoli"
"BERTHOUD, Paul-François",French sculptor and,painter,"b. 1870, Paris, d. 1939, Paris"
"DALENS, Dirck I",Dutch,painter,"b. 1600, Dordrecht, d. 1676, Zierikzee"
CORNEILLE DE LYON,Dutch/French,painter,"b. 1500/10, The Hague, d. after 1574, Lyon"
"SUSINI, Francesco",Italian,sculptor,"b. 1585, Firenze, d. 1653, Firenze"
"JORDAN, Esteban",Spanish,painter/sculptor,"b. ca. 1529, León, d. ca. 1598, Valladolid"
"LIEVENS, Jan",Dutch,painter,"b. 1607, Leiden, d. 1674, Amsterdam"
"BELLINI, Leonardo",Italian illuminator and,painter,active 1443-1490 in Venice
"VALLAYER-COSTER, Anne",French,painter,"b. 1744, Paris, d. 1818, Paris"
"COCHIN, Charles-Nicolas I",French,engraver,"b. 1688, Paris, d. 1754, Paris"
"BULGARINI, Bartolommeo","Italian painter, Sienese",school,"active 1337, Siena, d. 1378, Siena"
"BELLUCCI, Antonio",Italian,painter,"b. 1654, Pieve di Soligo, d. 1726, Pieve di Soligo"
"CANAL, Bernardo","Italian painter, Venetian",school,"b. 1664, Venezia, d. 1744, Venezia"
"BROC, Jean",French,painter,"b. 1771, Montignac, d. 1850, Poland"
"CALCAR, Jan Steven van",Netherlandish,painter,"b. ca. 1499, Calcar, d. ca. 1546, Napoli"
"CAVINO, Giovanni da",Italian medalist and,goldsmith,"b. 1500, Padova, d. 1570, Padova"
"TERZIO, Francesco",Italian,painter,"b. ca. 1523, Bergamo, d. 1591, Roma"
"CINGANELLI, Michelangelo",Italian,painter,"b. ca. 1558, Settignano, d. 1635, Firenze"
"ROOS, Jan",Flemish,painter,"b. 1591, d. 1638, Genova"
"HERRING, Benjamin Jr.",English painter and,etcher,"b. 1830, Doncaster, d. 1871, Doncaster"
"BETTI, Niccolò",Italian,painter,"b. ca. 1550, Firenze, d. 1617, Firenze"
"STANFIELD, Clarkson",English,painter,"b. 1793, Sunderland, d. 1867, Hampstead"
"BLOCH, Carl Heinrich",Danish,painter,"b. 1834, København, d. 1890, København"
"STOSKOPFF, Sébastien",French,painter,"b. 1597, Strasbourg, d. 1657, Idstein"
"DUBBELS, Hendrik Jakobsz.",Dutch,painter,"b. 1621, Amsterdam, d. 1707, Amsterdam"
KONRAD von Soest,German,painter,active 1394-1422 in Westphalie
"BORCHT, Hendrik van der, the Elder",Flemish,painter,"b. 1583, Bruxelles, d. 1651, Frankfurt am Main"
"MEUCCI, Vincenzo",Italian,painter,"b. 1694, Firenze, d. 1766, Firenze"
"ALBA, Macrino d'",Italian,painter,"b. ca. 1460, Alba, d. ca. 1528, Alba"
"VISSCHER, Maria Tesselschade Roemers",Dutch glass,engraver,"b. 1594, Amsterdam, d. 1649, Amsterdam"
"TAUNAY, Nicolas Antoine",French,painter,"b. 1755, Paris, d. 1830, Paris"
"BURG, Adriaan van der",Dutch,painter,"b. 1693, Dordrecht, d. 1733, Dordrecht"
"D'ORSI, Achille",Italian,sculptor,"b. 1845, Napoli, d. 1929, Napoli"
"RAUCHMILLER, Matthias",German,sculptor,"b. 1645, Radolfzell, d. 1686, Wien"
"JONES, John",English,engraver,active 1780-1791 in London
"ROLLENHAGEN, Gabriel",German,writer,"b. 1583, Magdeburg, d. 1619, Magdeburg"
"FANCELLI, Cosimo","Italian sculptor, Roman",school,"b. ca. 1620, Roma, d. 1688, Roma"
"TEMANZA, Tommaso",Italian,architect,"b. 1705, Venezia, d. 1789, Venezia"
"DUPRÉ, Louis",French,painter,"b. 1789, Versailles, d. 1837, Paris"
"BOEL, Pieter",Flemish,painter,"b. 1622, Antwerpen, d. 1674, Paris"
MICHELE PANNONIO,Hungarian,"painter,","b. ca. 1400, Hungary, d. ca. 1464, Ferrara"
"RAEBURN, Sir Henry",Scottish,painter,"b. 1756, Stockbridge, d. 1823, Edinburgh"
"SAENREDAM, Pieter Jansz",Dutch,painter,"b. 1597, Assendelft, d. 1665, Haarlem"
"BRUSTOLON, Andrea","Italian wood-carver, Venetian",school,"b. 1662, Belluno, d. 1732, Belluno"
"GABRIEL, Ange-Jacques",French,architect,"b. 1698, Paris, d. 1782, Paris"
"DUPÉRAC, Etienne",French,engraver,"b. ca. 1525, Bordeaux, d. 1601, Paris"
"LE TAVERNIER, Jean",French,illuminator,active 1434-1460 in Burgundy
"PICOU, Henri Pierre",Italian,painter,"b. 1824, Nantes, 1895, Nantes"
"VERNET, Claude-Joseph",French,painter,"b. 1714, Avignon, d. 1789, Paris"
"NYPOORT, Justus van den",Dutch painter and,engraver,"b. ca. 1625, Utrecht, d. after 1692"
"VISCARDI, Girolamo",Italian,sculptor,"b. 1467, Laino, d. after 1522, Genova"
"GUÉRIN, Paulin-Jean-Baptiste",French,painter,"b. 1783, Toulon, d. 1855, Paris"
"BARBAULT, Jean",French,painter,"b. 1718, Viarmes, d. 1762, Roma"
"LORENZETTI, Pietro","Italian painter, Sienese",school,"b. ca. 1280, Siena, d. 1348, Siena"
"FRANCO, Giacomo",Italian,engraver,"b. 1550, Venezia, d. 1620, Venezia"
"VERROCCHIO, Andrea del","Italian painter and sculptor, Florentine",school,"b. 1435, Firenze, d. 1488, Venezia"
"MACHADO DE CASTRO, Joachim",Portuguese,sculptor,"b. 1736, Coimbra, d. 1822, Lisboa"
GUALTIERO PADOVANO,Italian,painter,"b. ca. 1510, Padova, d. 1552, Padova"
"EYCK, Jan van",Flemish,painter,"b. before 1395, Maaseik, d. 1441, Bruges"
"ROMANINO, Girolamo","Italian painter, Brescian",school,"b. ca. 1484, Brescia, d. ca. 1559, Brescia"
"TIARINI, Alessandro","Italian painter, Bolognese",school,"b. 1577, Bologna, d. 1668, Bologna"
"HACKAERT, Jan",Dutch,painter,"b. ca. 1628, Amsterdam, d. ca. 1685, Amsterdam"
"BARENDSZ., Dirck",Dutch,painter,"b. 1534, Amsterdam, d. 1592, Amsterdam"
"HERWIJCK, Steven van",Netherlandish,medallist,"b. ca. 1530, Utrecht, d. ca. 1565, London"
"COOPER, Abraham",English,painter,"b. 1787, London, d. 1868, London"
"VALCKENBORCH, Marten van I",Flemish,painter,"b. 1534, Leuven, d. 1612, Frankfurt-am-Main"
"VELDE, Willem van de, the Elder",Dutch,painter,"b. 1611, Leiden, d. 1693, London"
"UTENS, Giusto",Flemish/Italian,painter,"active 1599, d. 1609 in Carrara"
"CELLINI, Benvenuto",Italian sculptor and,goldsmith,"b. 1500, Firenze, d. 1571, Firenze"
"KERN, Anton",German,painter,"b. 1709, Tetschen, d. 1747, Dresden"
"COUSIN, Jean the Younger",French,painter,"b. ca. 1525, Sens, d. ca. 1595, Paris"
CARAVAGGIO,Italian,painter,"b. 1571, Caravaggio, d. 1610, Porto Ercole"
"BAEN, Jan de",Dutch,painter,"b. 1633, Haarlem, d. 1702, Den Haag"
"OSONA, Rodrigo de, the Younger","Spanish painter, Valencian",school,active 1505-1530
"MOLA, Antonio and Paolo",Italian intarsia,artists,"known from 1489, died 1532 and 1545"
"FERENCZY, István",Hungarian,sculptor,"b. 1792, Rimaszombat, d. 1856, Rimaszombat"
"CARLIN, Martin",French,cabinet-maker,"b. ca. 1730, Freiburg, d. 1785, Paris"
"BRUGMAN, Willem Claesz.",Dutch,silversmith,active 1641-1665 in Delft
"ÁNGEL, Pedro",Spanish,engraver,active 1583-1617 in Toledo
"BENOUVILLE, François-Léon",French,painter,"b. 1821, Paris, d. 1859, Paris"
"CAFFA, Melchiore",Maltese,sculptor,"b. 1635, Vittoriosa, d. 1667, Roma"
"WOUWERMAN, Philips",Dutch,painter,"b. 1619, Haarlem, d. 1668, Haarlem"
"BLAKE, William",English,artist,"b. 1757, London, d. 1827, London"
"BACON, John",English,sculptor,"b. 1740, London, d. 1799, London"
"IBI, Sinibaldo",Italian,painter,"b. ca. 1475, Perugia, d. ca. 1550, Perugia"
"BRIATI, Giuseppe",Italian,glassmaker,"b. 1686, Murano, d. 1772, Murano"
"BOELEMA DE STOMME, Maerten",Dutch,painter,"b. 1611, Leeuwarden, d. ca. 1664, Haarlem"
"DODIN, Charles-Nicolas",French miniature,painter,"b. 1734, Versailles, d. 1803, Sèvres"
"NIGG, Joseph",Austrian,painter,"b. 1782, Wien, d. 1863, Wien"
"ORDÓÑEZ, Bartolomé",Spanish,sculptor,"b. ca. 1490, Burgos, d. 1520, Carrara"
"FONTANA, Lavinia",Italian,painter,"b. 1552, Bologna, d. 1614, Roma"
"TRICHT, Arnt van",Netherlandish,sculptor,"active c. 1530; d. 1570, Kalkar"
"HEYDEN, Pieter van der",Flemish,engraver,"b. ca. 1530, Antwerpen, d. ca. 1575, Berchem"
"CECCARELLI, Naddo",Italian,painter,active 1340s
"GAMBARA, Lattanzio",Italian,painter,"b. 1530, Brescia, d. 1574, Brescia"
"COURT, Jean de",French painter and,enameller,active 1555-1585
"CHASE, William Merritt",American,painter,"b. 1849, Williamsburg, d. 1916, New York"
"CAVRIOLI, Francesco",Italian,sculptor,"b. ca. 1600, Serravalle, d. 1670, Venezia"
"CARPEAUX, Jean-Baptiste",French,sculptor,"b. 1827, Valenciennes, d. 1875, Courbevoie"
"DELAISTRE, François-Nicolas",French,sculptor,"b. 1746, Paris, d. 1832, Paris"
"MORA, Bernardo de",Spanish,sculptor,"b. 1614, Porreras, Mallorca, d. 1684, Granada"
"LEVITAN, Isaak Ilyich",Russian,painter,"b. 1860, Kibarta, d. 1900, Moscow"
"PREVIATI, Gaetano",Italian,painter,"b. 1852, Ferrara, d. 1920, Lavagna"
"AUDUBON, John James",American,naturalist,"b. 1785,  Les Cayes, Haiti, d. 1851, New York"
"STOOP, Dirck Willemsz.",Dutch,painter,"b. ca. 1618, Utrecht, d. 1686, Utrecht"
"VECELLIO, Francesco","Italian painter, Venetian",school,"b. 1475, Pieve di Cadore, d. ca. 1560, Pieve di Cadore"
NICCOLÒ DA FOLIGNO,"Italian painter, Umbrian",school,"b. ca. 1430, Foligno, d. 1502, Foligno"
"VERONESE, Paolo","Italian painter, Venetian",school,"b. 1528, Verona, d. 1588, Venezia"
"VRIES, Roelof van",Dutch,painter,"b. ca. 1630, Haarlem, d. after 1681, Amsterdam"
FRANCESCO DI GIORGIO MARTINI,"Italian painter/sculptor/architect, Sienese",school,"b. 1439, Siena, d. 1502, Siena"
"TADOLINI, Scipione",Italian,sculptor,"b. 1822, Roma, d. 1892, Roma"
"LION, Angelo","Italian painter, Venetian",school,active 1597-1621 in Venice
PASQUINO DA MONTEPULCIANO,Italian,sculptor,"b. ca. 1425, Montepulciano, d. 1485, Firenze"
"STEER, Philip Wilson",English,painter,"b. 1860, Birkenhead, d. 1942, London"
"SWAINE, Francis",English,painter,"b. ca. 1720, d. 1782, London"
"DOUFFET, Gérard",Flemish,painter,"b. 1594, Liège, d. 1660, Liège"
"CASAS I CARBÓ, Ramón",Catalan,painter,"b. 1866, Barcelona, d. 1932, Barcelona"
FRANCESCO DI VANNUCCIO,"Italian painter, Sienese",school,active 1356-89 in Siena
"VERMEER, Barent",Dutch,painter,"b. 1659, Haarlem, d. ca. 1702, Amsterdam"
"FOGGINI, Giambattista",Italian,sculptor,"b. 1652, Firenze, d. 1725, Firenze"
"LINT, Hendrik Frans van",Flemish,painter,"b. 1684, Antwerpen, d. 1763, Roma"
"MUTTONI, Francesco",Italian,architect,"b. 1669, Lacima, d. 1747, Vicenza"
